place_of_residence,place_of_work,N_workers,place_of_residence_chi,place_of_work_chi
Yuen Long,Tin Shui Wai New Town,16016,元朗,天水圍新市鎮
North,Tin Shui Wai New Town,452,北區,天水圍新市鎮
Tai Po,Tin Shui Wai New Town,182,大埔,天水圍新市鎮
Sha Tin,Tin Shui Wai New Town,292,沙田,天水圍新市鎮
Sai Kung,Tin Shui Wai New Town,112,西貢,天水圍新市鎮
Islands,Tin Shui Wai New Town,18,離島,天水圍新市鎮
Central and Western,Fanling/ Sheung Shui New Town,217,中西區,粉嶺／上水新市鎮
Wan Chai,Fanling/ Sheung Shui New Town,169,灣仔,粉嶺／上水新市鎮
Eastern,Fanling/ Sheung Shui New Town,533,東區,粉嶺／上水新市鎮
Southern,Fanling/ Sheung Shui New Town,146,南區,粉嶺／上水新市鎮
Yau Tsim Mong,Fanling/ Sheung Shui New Town,421,油尖旺,粉嶺／上水新市鎮
Sham Shui Po,Fanling/ Sheung Shui New Town,749,深水埗,粉嶺／上水新市鎮
Kowloon City,Fanling/ Sheung Shui New Town,814,九龍城,粉嶺／上水新市鎮
Wong Tai Sin,Fanling/ Sheung Shui New Town,702,黃大仙,粉嶺／上水新市鎮
Kwun Tong,Fanling/ Sheung Shui New Town,990,觀塘,粉嶺／上水新市鎮
Kwai Tsing,Fanling/ Sheung Shui New Town,790,葵青,粉嶺／上水新市鎮
Tsuen Wan,Fanling/ Sheung Shui New Town,862,荃灣,粉嶺／上水新市鎮
Tuen Mun,Fanling/ Sheung Shui New Town,2369,屯門,粉嶺／上水新市鎮
Yuen Long,Fanling/ Sheung Shui New Town,4416,元朗,粉嶺／上水新市鎮
North,Fanling/ Sheung Shui New Town,26187,北區,粉嶺／上水新市鎮
Tai Po,Fanling/ Sheung Shui New Town,4089,大埔,粉嶺／上水新市鎮
Sha Tin,Fanling/ Sheung Shui New Town,3759,沙田,粉嶺／上水新市鎮
Sai Kung,Fanling/ Sheung Shui New Town,922,西貢,粉嶺／上水新市鎮
Islands,Fanling/ Sheung Shui New Town,193,離島,粉嶺／上水新市鎮
Central and Western,Tai Po New Town,706,中西區,大埔新市鎮
Wan Chai,Tai Po New Town,567,灣仔,大埔新市鎮
Eastern,Tai Po New Town,1397,東區,大埔新市鎮
Southern,Tai Po New Town,325,南區,大埔新市鎮
Yau Tsim Mong,Tai Po New Town,1269,油尖旺,大埔新市鎮
Sham Shui Po,Tai Po New Town,1863,深水埗,大埔新市鎮
Kowloon City,Tai Po New Town,2477,九龍城,大埔新市鎮
Wong Tai Sin,Tai Po New Town,2121,黃大仙,大埔新市鎮
Kwun Tong,Tai Po New Town,2588,觀塘,大埔新市鎮
Kwai Tsing,Tai Po New Town,2048,葵青,大埔新市鎮
Tsuen Wan,Tai Po New Town,1938,荃灣,大埔新市鎮
Tuen Mun,Tai Po New Town,1838,屯門,大埔新市鎮
Yuen Long,Tai Po New Town,3904,元朗,大埔新市鎮
North,Tai Po New Town,9499,北區,大埔新市鎮
Tai Po,Tai Po New Town,28160,大埔,大埔新市鎮
Sha Tin,Tai Po New Town,8689,沙田,大埔新市鎮
